PSA_ID,Domain,English,Swahili,Gikuyu,Swahili Confidence,Gikuyu Confidence,English Validator,Gikuyu,Swahili Confidence,Gikuyu Confidence,Swahili Validator ,Gikuyu Validator,Metadata
,Education,"Act now! Communities, prevent FGM to protect girls.","Chukua hatua sasa! Jamii, zuia ukeketaji (FGM) ili kuwalinda wasichana.","Thirikari, geria kũhũũra ciana cia ndigwa nĩguo ciĩgitĩre airĩtu.",0.60805829,0.263419954,Misati,"Thirikari, geria kũhũũra ciana cia ndigwa nĩguo ciĩgitĩre airĩtu.",0.60805829,0.263419954,Lavender,,
,Education,Adult education centers reopen January 13. Register free at any public primary school.,Vituo vya elimu ya watu wazima vitafunguliwa tena Januari 13.,Ciiko cia kũmenyeria andũ agima nĩ ciathumbũragwo rĩngĩ January 13.,0.600966238,0.394110616,Misati,Ciiko cia kũmenyeria andũ agima nĩ ciathumbũragwo rĩngĩ January 13.,0.600966238,0.394110616,Lavender,,
,Education,Adult literacy classes resume January 13. Register free at chief's office now!,Masomo ya kusoma na kuandika kwa watu wazima yataanza Januari 13. Jisajili bila malipo katika ofisi ya chifu sasa!,"Ciũngano cia andũ agima cia gũthoma na kwandika nĩ ciambĩrĩirie mweri wa mbere, mweri wa mbere, na rĩu nĩ ũrathoma thĩinĩ wa wabici ya mũnene!",0.658088915,0.419180047,Misati,"Ciũngano cia andũ agima cia gũthoma na kwandika nĩ ciambĩrĩirie mweri wa mbere, mweri wa mbere, na rĩu nĩ ũrathoma thĩinĩ wa wabici ya mũnene!",0.658088915,0.419180047,Lavender,,
,Education,All belong! Enroll refugee children in schools today.,Wasajili watoto wakimbizi shuleni leo.,"Arĩa othe matũũraga kuo, nĩ magĩrĩire kwandĩkwo cukuru-inĩ ũmũthĩ.",0.662761905,0.374410572,Misati,"Arĩa othe matũũraga kuo, nĩ magĩrĩire kwandĩkwo cukuru-inĩ ũmũthĩ.",0.662761905,0.374410572,Lavender,,
,Education,"All boarding schools must conduct safety audit by September 30, 2025.","Shule zote za bweni lazima zifanye ukaguzi wa usalama ifikapo Septemba 30, 2025.","Thukuru ciothe cia mũciĩ wa andũ agima nĩ igĩrĩirwo nĩ gũthuthuria ũgitĩri nginya Septemba 30, 2025.",0.651377002,0.435352256,Misati,"Thukuru ciothe cia mũciĩ wa andũ agima nĩ igĩrĩirwo nĩ gũthuthuria ũgitĩri nginya Septemba 30, 2025.",0.651377002,0.435352256,Lavender,,
,Education,All boarding schools must install fire alarms and sprinklers by January 6 CS orders!,Shule zote za bweni lazima ziweke kengele za moto na vinyunyiziaji maji kabla ya amri ya Waziri (CS) ya Januari 6!,"Mathukuru mothe ma cukuru cia mũingĩ magĩrĩirũo kũiga macini cia kũheana macini na cia kũthereria macini nginya January 6, rĩrĩa rĩothe C.S. ĩgũthiĩ!",0.506039951,0.270261209,Misati,"Mathukuru mothe ma cukuru cia mũingĩ magĩrĩirũo kũiga macini cia kũheana macini na cia kũthereria macini nginya January 6, rĩrĩa rĩothe C.S. ĩgũthiĩ!",0.506039951,0.270261209,Lavender,,
,Education,All can learn! Use braille and ramps for disabled students.,Kila mtu anaweza kujifunza! Tumia maandishi ya nukta nundu (Braille) na njia panda (ramps) kwa ajili ya wanafunzi wenye ulemavu.,Arutwo othe no mamenye kũhũthĩra marũa ma Braille na marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra.,0.535460306,0.482567799,Misati,Arutwo othe no mamenye kũhũthĩra marũa ma Braille na marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra marũa ma kũhũthĩra.,0.535460306,0.482567799,Lavender,,
,Education,All dormitories must have emergency exits. Inspection starts December 1!,Kila bweni linapaswa kuwa na mlango wa kutokea wakati wa dharura.,Mĩciĩ yothe ya gũkoma nĩ ĩgĩrĩirũo gũkorũo na ihenya cia kũhingũra.,0.428605335,0.358479913,Misati,Mĩciĩ yothe ya gũkoma nĩ ĩgĩrĩirũo gũkorũo na ihenya cia kũhingũra.,0.428605335,0.358479913,Lavender,,
,Education,All Form 3 students must register as voters this week. No excuses!,Wanafunzi wote wa Kidato cha 3 lazima wasajiliwe kuwa wapiga kura wiki hii.,Arutwo othe a kĩambĩrĩria gĩa gatatũ nĩ magĩrĩire kwĩyandikithia ta ateti kiumia gĩkĩ.,0.701885784,0.417994296,Misati,Arutwo othe a kĩambĩrĩria gĩa gatatũ nĩ magĩrĩire kwĩyandikithia ta ateti kiumia gĩkĩ.,0.701885784,0.417994296,Lavender,,
,Education,All Form Four students must register as voters before leaving school.,Wanafunzi wote wa Kidato cha 4 lazima wasajiliwe kuwa wapiga kura kabla ya kumaliza shule.,Arutwo othe a kĩambĩrĩria gĩa kerĩ nĩ magĩrĩire kwĩyandikithia marĩ athuri a gĩkundi kĩu mbere ya kuuma cukuru.,0.637877416,0.445327128,Misati,Arutwo othe a kĩambĩrĩria gĩa kerĩ nĩ magĩrĩire kwĩyandikithia marĩ athuri a gĩkundi kĩu mbere ya kuuma cukuru.,0.637877416,0.445327128,Lavender,,
,Education,All Grade 6 learners automatically placed in junior secondary no exam needed.,Wanafunzi wote wa Gredi ya 6 watapelekwa moja kwa moja katika shule ya upili ya chini (JSS) bila kuhitaji mtihani.,Arutwo othe a kĩrathi gĩa 6 nĩ maathomagwo na njĩra ya kwĩhithĩria nginya kĩrathi gĩa gatatũ.,0.597793477,0.360450856,Misati,Arutwo othe a kĩrathi gĩa 6 nĩ maathomagwo na njĩra ya kwĩhithĩria nginya kĩrathi gĩa gatatũ.,0.597793477,0.360450856,Lavender,,
,Education,All public university students to get free data bundles for e-learning.,Wanafunzi wote wa vyuo vikuu vya umma watapata data (bundles) bila malipo kwa ajili ya kujifunza mtandaoni.,Arutwo othe a yunivasĩtĩ cia mũingĩ nĩ megũheo ũhoro wa kũruta ũhoro wa mũingĩ hatarĩ marĩhi.,0.671243588,0.397071104,Misati,Arutwo othe a yunivasĩtĩ cia mũingĩ nĩ megũheo ũhoro wa kũruta ũhoro wa mũingĩ hatarĩ marĩhi.,0.671243588,0.397071104,Lavender,,
,Education,All refugee children in Kenya to join public schools from January no fees.,Watoto wote wakimbizi nchini Kenya watajiunga na shule za umma kuanzia Januari bila kulipa ada.,Ciana ciothe cia ũraihu wa Kenya nĩ ikũingĩra cukuru cia mũingĩ kuuma mweri wa mbere hatarĩ marĩhi.,0.682472592,0.490296949,Misati,Ciana ciothe cia ũraihu wa Kenya nĩ ikũingĩra cukuru cia mũingĩ kuuma mweri wa mbere hatarĩ marĩhi.,0.682472592,0.490296949,Lavender,,
,Education,All registered candidates must appear in the attendance register.,Watahiniwa wote waliosajiliwa lazima waonekane kwenye orodha ya mahudhurio.,Arutwo othe arĩa maratarĩtio nĩ magĩrĩire kũingĩra thĩinĩ wa rũthiomi rwa gũthiĩ.,0.668922436,0.380217452,Misati,Arutwo othe arĩa maratarĩtio nĩ magĩrĩire kũingĩra thĩinĩ wa rũthiomi rwa gũthiĩ.,0.668922436,0.380217452,Lavender,,
,Education,All schools get Ksh 10M for ICT upgrade principal must apply by November 30!,"Shule zote zinazopata Ksh 10M kwa ajili ya kuboresha ICT, mwalimu mkuu lazima atume maombi ifikapo Novemba 30!",Thukuru ciothe iria irutaga Ksh 10M nĩ ũndũ wa kũmenyeria arĩa angĩ ũhoro wa ICT nĩ ciabataraga kũruta wĩra nginya mweri wa 11 wa ikũmi na ũmwe!,0.581442414,0.360425347,Misati,Thukuru ciothe iria irutaga Ksh 10M nĩ ũndũ wa kũmenyeria arĩa angĩ ũhoro wa ICT nĩ ciabataraga kũruta wĩra nginya mweri wa 11 wa ikũmi na ũmwe!,0.581442414,0.360425347,Lavender,,
,Education,All schools get Ksh 15M for library upgrade. Apply before December 15!,Shule zote zinapata Ksh 15M kwa ajili ya kuboresha maktaba.,Thukuru ciothe nĩ iratonya kũheo Ksh 15M nĩ ũndũ wa gũthondeka mabuku.,0.663714918,0.379626841,Misati,Thukuru ciothe nĩ iratonya kũheo Ksh 15M nĩ ũndũ wa gũthondeka mabuku.,0.663714918,0.379626841,Lavender,,
,Education,All schools get Ksh 2M digital lab grant. Principal must apply by Friday.,Shule zote kupata ruzuku ya Ksh 2M kwa maabara ya kidijitali. Mwalimu mkuu lazima aombe kabla ya Ijumaa.,Arutani othe a cukuru nĩ marutaga ũteithio wa Ksh 2M. Mũrori wa cukuru agĩrĩirũo kũruta marũa ma kũruta wĩra mũthenya wa Kiumia.,0.525837062,0.40449412,Misati,Arutani othe a cukuru nĩ marutaga ũteithio wa Ksh 2M. Mũrori wa cukuru agĩrĩirũo kũruta marũa ma kũruta wĩra mũthenya wa Kiumia.,0.525837062,0.40449412,Lavender,,
,Education,All schools get Ksh 5M for perimeter wall and gate. Works start January!,Shule zote zinapata Ksh 5M kwa ajili ya ujenzi wa kuta za mzunguko na lango. Kazi inaanza Januari!,Thukuru ciothe nĩ iratungataga na njĩra ya Ksh 5M nĩ ũndũ wa rũthingo na kĩhingo.,0.598865834,0.431808043,Misati,Thukuru ciothe nĩ iratungataga na njĩra ya Ksh 5M nĩ ũndũ wa rũthingo na kĩhingo.,0.598865834,0.431808043,Lavender,,
,Education,All schools get Ksh 5M for science lab upgrade. Apply before December 5!,Shule zote zinapata Ksh 5M kwa ajili ya kuboresha maabara za sayansi.,Thukuru ciothe nĩ iratonya kũheo Ksh 5M ya gũthondeka maũndũ ma sayansi.,0.637258874,0.395790625,Misati,Thukuru ciothe nĩ iratonya kũheo Ksh 5M ya gũthondeka maũndũ ma sayansi.,0.637258874,0.395790625,Lavender,,
,Education,All schools install CCTV and hire guards by December 31 or face closure!,Shule zote zinaweka CCTV na kuajiri walinzi ifikapo Desemba 31 au zitafungwa!,Thukuru ciothe nĩ ciĩhotithagia kũiga kamera cia kũigĩrĩra maũndũ na gũtua arangĩri wĩra nginya December 31 kana nĩ ciĩhingũragwo!,0.633138673,0.300160477,Misati,Thukuru ciothe nĩ ciĩhotithagia kũiga kamera cia kũigĩrĩra maũndũ na gũtua arangĩri wĩra nginya December 31 kana nĩ ciĩhingũragwo!,0.633138673,0.300160477,Lavender,,
,Education,All schools must conduct fire drill before December 20 no excuses!,"Shule zote lazima zifanye mazoezi ya kujiokoa na moto kabla ya Desemba 20, hakuna udhuru!",Mathukuru mothe magĩrĩirũo kũruta wĩra wa kũrũithia mwaki mbere ya Dicemba 20.,0.707993479,0.361372568,Misati,Mathukuru mothe magĩrĩirũo kũruta wĩra wa kũrũithia mwaki mbere ya Dicemba 20.,0.707993479,0.361372568,Lavender,,
,Education,All schools must have functional GBV reporting desk. Inspection starts December 1!,Shule zote lazima ziwe na ofisi ya kuripoti visa vya ukatili wa kijinsia (GBV). Ukaguzi unaanza Desemba 1!,Mathomo mothe nĩ magĩrĩire gũkorũo na kĩhũngĩro gĩa kũruta marũa ma GVB. Gũcokio gũgĩambĩrĩirie 1 December!,0.593815037,0.31385012,Misati,Mathomo mothe nĩ magĩrĩire gũkorũo na kĩhũngĩro gĩa kũruta marũa ma GVB. Gũcokio gũgĩambĩrĩirie 1 December!,0.593815037,0.31385012,Lavender,,
,Education,All schools must screen for TB before reopening. Free testing starts Monday!,Wafanyakazi wote wa shule lazima wapimwe kifua kikuu (TB) kabla ya shule kufunguliwa upya.,Mathukuru mothe nĩ magĩrĩirũo kwĩthuthuria nĩguo mone kana nĩ kũrĩ thibitarĩ mbere ya kũhingũra rĩngĩ.,0.647567272,0.399382299,Misati,Mathukuru mothe nĩ magĩrĩirũo kwĩthuthuria nĩguo mone kana nĩ kũrĩ thibitarĩ mbere ya kũhingũra rĩngĩ.,0.647567272,0.399382299,Lavender,,
,Education,All teachers get free medical cover upgrade NHIF to full package January 1!,Walimu wote watapata bima kamili ya matibabu iliyoboreshwa ya NHIF bila malipo kuanzia Januari 1!,Arutani othe nĩ marakenera ũrigitani wa thibitarĩ wa tũhũ wa NHIF nginya January 1!,0.499759585,0.422425288,Misati,Arutani othe nĩ marakenera ũrigitani wa thibitarĩ wa tũhũ wa NHIF nginya January 1!,0.499759585,0.422425288,Lavender,,
,Education,All TTC students must complete civic education module before graduation KICD directs.,Wanafunzi wote wa Vyuo vya Mafunzo ya Walimu (TTC) lazima wakamilishe moduli ya elimu ya uraia kabla ya kuhitimu kulingana na maagizo ya KICD.,Arutwo othe a TTC magĩrĩire kũruta gĩcunjĩ kĩa gĩthomo kĩa ũmenyeru wa mũtũrĩre mbere ya kũruta wĩra ũrĩa ũratongoragio nĩ KICD.,0.737131187,0.527393682,Misati,Arutwo othe a TTC magĩrĩire kũruta gĩcunjĩ kĩa gĩthomo kĩa ũmenyeru wa mũtũrĩre mbere ya kũruta wĩra ũrĩa ũratongoragio nĩ KICD.,0.737131187,0.527393682,Lavender,,
,Education,All TVET graduates guaranteed 6-month paid internship from January 2026.,Wanafunzi wote wa TVET wamepewa nafasi za mafunzo kwa vitendo (attachment) ya miezi sita kuanzia Januari 2026.,Arĩa othe maathomire TVET nĩ maheetwo mweke wa kũruta wĩra wa thikũ 6 kuuma mweri wa mbere wa mwaka wa 2026.,0.393066959,0.451572808,Misati,Arĩa othe maathomire TVET nĩ maheetwo mweke wa kũruta wĩra wa thikũ 6 kuuma mweri wa mbere wa mwaka wa 2026.,0.393066959,0.451572808,Lavender,,
,Education,"All TVET students get Ksh 10,000 monthly stipend and free laptop from January!","Wanafunzi wote wa TVET watapata Ksh 10,000 kila mwezi na kompyuta mpakato (laptop) bila malipo kuanzia Januari!","Arutwo othe a TVET nĩ marutaga Ksh 10,000 o mweri na makoragwo na kombiuta ya kompiuta ya tũhũ kuuma mweri wa January!",0.605506213,0.472549476,Misati,"Arutwo othe a TVET nĩ marutaga Ksh 10,000 o mweri na makoragwo na kombiuta ya kompiuta ya tũhũ kuuma mweri wa January!",0.605506213,0.472549476,Lavender,,
,Education,"All TVET students get Ksh 8,000 monthly stipend from January. Confirm admission first!","Wanafunzi wote wa TVET watapokea Ksh 8,000 kila mwezi kuanzia Januari.","Arutwo othe a TVET nĩ marutaga mũcaara wa Ksh 8,000 o mweri kuuma mweri wa January.",0.637825694,0.572531995,Misati,"Arutwo othe a TVET nĩ marutaga mũcaara wa Ksh 8,000 o mweri kuuma mweri wa January.",0.637825694,0.572531995,Lavender,,
,Education,All TVET students to get free laptops under new digital literacy program.,Wanafunzi wote wa TVET kupata kompyuta mpakato bila malipo chini ya mpango mpya wa kidijitali.,Arutwo othe a TVET nĩ magakenera kompiuta cia kompiuta cia mũciĩ wa tũhũ kũgerera mũbango mwerũ wa gũtaũra ũhoro na gũtaũra ũhoro.,0.646681087,0.434507175,Misati,Arutwo othe a TVET nĩ magakenera kompiuta cia kompiuta cia mũciĩ wa tũhũ kũgerera mũbango mwerũ wa gũtaũra ũhoro na gũtaũra ũhoro.,0.646681087,0.434507175,Lavender,,
,Education,"All TVET trainees to get Ksh 7,000 monthly stipend starting January.","Wafanyakazi wote wa TVET watapata mshahara wa Ksh 7,000 kila mwezi kuanzia Januari.","Arutwo othe a TVET nĩ megũkũheo mũcaara wa Ksh 7,000 kuuma mweri wa January.",0.594337996,0.609050006,Misati,"Arutwo othe a TVET nĩ megũkũheo mũcaara wa Ksh 7,000 kuuma mweri wa January.",0.594337996,0.609050006,Lavender,,
,Education,All universities must host voter registration centers IEBC orders.,Vyuo vikuu vyote lazima viwe na vituo vya usajili wa wapiga kura - amri ya IEBC.,Maathiithi mothe ma igũrũ nĩ magĩrĩire kũgĩa na ciũngano cia kũheana mathabu cia IEBC.,0.61299576,0.299033517,Misati,Maathiithi mothe ma igũrũ nĩ magĩrĩire kũgĩa na ciũngano cia kũheana mathabu cia IEBC.,0.61299576,0.299033517,Lavender,,
,Education,All university students get free 50GB data bundle. Activate with .ac.ke email now!,Wanafunzi wote wa vyuo vikuu kupata data ya 50GB bila malipo.,Arutwo othe a yunivasĩtĩ nĩ marakenera kũheo ũhoro wa goro wa GB 50 cia data.,0.698020012,0.368167909,Misati,Arutwo othe a yunivasĩtĩ nĩ marakenera kũheo ũhoro wa goro wa GB 50 cia data.,0.698020012,0.368167909,Lavender,,
,Education,Anti-bullying week starts Monday. Report via 0800721524 or school counselor!,Wiki ya kupambana na uonevu (anti-bullying) inaanza Jumatatu. Ripoti kwa kupiga simu 0800721524 au kwa mshauri wa shule!,Ũhoro wa gũtiga kũhinyĩrĩrio nĩ andũ ũkoragwo ũgĩtaarĩirio rũcinĩ rwa mbere.,0.658997973,0.257978479,Misati,Ũhoro wa gũtiga kũhinyĩrĩrio nĩ andũ ũkoragwo ũgĩtaarĩirio rũcinĩ rwa mbere.,0.658997973,0.257978479,Lavender,,
,Education,App features logic games based on civic themes,Programu ina michezo ya mantiki inayoangazia mada za uraia.,App nĩ ĩkoragwo na mĩthako ya ũũgĩ ĩgerekagĩrĩra harĩ maũndũ ma andũ,0.666828271,0.306313526,Misati,App nĩ ĩkoragwo na mĩthako ya ũũgĩ ĩgerekagĩrĩra harĩ maũndũ ma andũ,0.666828271,0.306313526,Lavender,,
,Education,App gives points for learning and reporting,App hutoa pointi kwa ajili ya kujifunza na kuripoti.,App nĩ ĩheaga tũbango twa kwĩruta na kũruta riboti,0.711533884,0.500725607,Misati,App nĩ ĩheaga tũbango twa kwĩruta na kũruta riboti,0.711533884,0.500725607,Lavender,,
,Education,Apply for bursaries for needy students 2022.,Omba ufadhili kwa wanafunzi wenye uhitaji 2022.,Reke wĩrute ũhoro wa mũhothi wa kũhe arutwo arĩa marĩ na bata 2022,0.603066563,0.322022149,Misati,Reke wĩrute ũhoro wa mũhothi wa kũhe arutwo arĩa marĩ na bata 2022,0.603066563,0.322022149,Lavender,,
,Education,Apply for TVET bursaries by March 15 via HELB portal.,Tuma maombi ya mikopo ya TVET kabla ya Machi 15 kupitia tovuti ya HELB.,Kũhoya mĩhothi ya TVET nĩ kũhĩtũkire 15 Mweri wa Gatatũ kũgerera kĩhingo kĩa HELB.,0.52138614,0.443024934,Misati,Kũhoya mĩhothi ya TVET nĩ kũhĩtũkire 15 Mweri wa Gatatũ kũgerera kĩhingo kĩa HELB.,0.52138614,0.443024934,Lavender,,
,Education,Apply for TVET bursaries by March 15 via HELB.,Omba ufadhili wa TVET kabla ya Machi 15 kupitia HELB.,Rekereria thiirĩ wa TVET nginya 15 mweri wa gatano kũgerera HELB.,0.624389889,0.463219954,Misati,Rekereria thiirĩ wa TVET nginya 15 mweri wa gatano kũgerera HELB.,0.624389889,0.463219954,Lavender,,
,Education,"Apply for TVET bursaries via HELB portal by March 15, 2025.","Omba ufadhili wa elimu ya juu kupitia tovuti ya HELB ifikapo Machi 15, 2025.",Kũhoya mĩhothi ya TVET kũgerera kĩhingo kĩa HELB nginya 15 Mweri wa Gatatũ 2025.,0.42679279,0.476465461,Misati,Kũhoya mĩhothi ya TVET kũgerera kĩhingo kĩa HELB nginya 15 Mweri wa Gatatũ 2025.,0.42679279,0.476465461,Lavender,,
,Education,Apply TVET bursaries by March 15.,Tuma maombi ya ufadhili wa TVET ifikapo Machi 15.,Kũhoya mĩhothi ya TVET nĩ kũgĩrĩire kwambĩrĩria mweri wa gatano nginya mweri wa gatano.,0.494628226,0.382142897,Misati,Kũhoya mĩhothi ya TVET nĩ kũgĩrĩire kwambĩrĩria mweri wa gatano nginya mweri wa gatano.,0.494628226,0.382142897,Lavender,,
